loan_id,user_id,book_id,loan_date,due_date,return_date
40,55,75,2024-01-01,2024-01-15,
40,55,183,2024-01-01,2024-01-15,
41,38,35,2024-01-01,2024-01-15,2024-01-07
41,38,99,2024-01-01,2024-01-15,
42,64,21,2024-01-01,2024-01-15,2024-01-06
42,64,142,2024-01-01,2024-01-15,2024-01-04
43,126,60,2024-01-01,2024-01-15,
43,126,8,2024-01-01,2024-01-15,2024-01-10
44,69,131,2024-01-01,2024-01-15,
44,69,34,2024-01-01,2024-01-15,2024-01-14
45,137,169,2024-01-01,2024-01-15,2024-01-01
45,137,60,2024-01-01,2024-01-15,2024-01-08
46,168,118,2024-01-01,2024-01-15,
46,168,191,2024-01-01,2024-01-15,2024-01-12
47,111,112,2024-01-01,2024-01-15,2024-01-07
47,111,109,2024-01-01,2024-01-15,2024-01-05
48,192,38,2024-01-01,2024-01-15,
48,192,13,2024-01-01,2024-01-15,2024-01-01
49,2,38,2024-01-01,2024-01-15,
49,2,46,2024-01-01,2024-01-15,2024-01-08
50,168,14,2024-01-01,2024-01-15,
50,168,32,2024-01-01,2024-01-15,2024-01-05
51,129,179,2024-01-01,2024-01-15,2024-01-07
51,129,158,2024-01-01,2024-01-15,2024-01-14
52,32,143,2024-01-01,2024-01-15,2024-01-06
52,32,58,2024-01-01,2024-01-15,
53,136,141,2024-01-01,2024-01-15,
53,136,38,2024-01-01,2024-01-15,
54,119,153,2024-01-01,2024-01-15,
54,119,23,2024-01-01,2024-01-15,2024-01-10
55,139,132,2024-01-01,2024-01-15,
55,139,171,2024-01-01,2024-01-15,2024-01-10
56,155,20,2024-01-01,2024-01-15,
56,155,159,2024-01-01,2024-01-15,
57,44,28,2024-01-01,2024-01-15,
57,44,137,2024-01-01,2024-01-15,2024-01-08
58,142,140,2024-01-01,2024-01-15,
58,142,184,2024-01-01,2024-01-15,
59,87,188,2024-01-01,2024-01-15,
59,87,177,2024-01-01,2024-01-15,
60,39,182,2024-01-01,2024-01-15,2024-01-02
60,39,119,2024-01-01,2024-01-15,
61,1,20,2024-01-01,2024-01-15,
61,1,68,2024-01-01,2024-01-15,2024-01-05
62,36,137,2024-01-01,2024-01-15,
62,36,150,2024-01-01,2024-01-15,
63,68,175,2024-01-01,2024-01-15,2024-01-01
63,68,113,2024-01-01,2024-01-15,2024-01-10
64,119,134,2024-01-01,2024-01-15,2024-01-03
64,119,77,2024-01-01,2024-01-15,
65,121,193,2024-01-01,2024-01-15,
65,121,115,2024-01-01,2024-01-15,
66,119,98,2024-01-01,2024-01-15,
66,119,199,2024-01-01,2024-01-15,
67,171,68,2024-01-01,2024-01-15,2024-01-04
67,171,92,2024-01-01,2024-01-15,2024-01-10
68,81,7,2024-01-01,2024-01-15,
68,81,196,2024-01-01,2024-01-15,2024-01-08
69,22,111,2024-01-01,2024-01-15,
69,22,200,2024-01-01,2024-01-15,2024-01-01
70,40,42,2024-01-01,2024-01-15,2024-01-09
70,40,114,2024-01-01,2024-01-15,
71,31,104,2024-01-01,2024-01-15,
71,31,149,2024-01-01,2024-01-15,
72,193,88,2024-01-01,2024-01-15,2024-01-11
72,193,74,2024-01-01,2024-01-15,
73,58,132,2024-01-01,2024-01-15,
73,58,155,2024-01-01,2024-01-15,
74,143,49,2024-01-01,2024-01-15,
74,143,51,2024-01-01,2024-01-15,
75,133,153,2024-01-01,2024-01-15,
75,133,146,2024-01-01,2024-01-15,
76,182,30,2024-01-01,2024-01-15,2024-01-12
76,182,45,2024-01-01,2024-01-15,2024-01-12
77,117,160,2024-01-01,2024-01-15,2024-01-09
77,117,37,2024-01-01,2024-01-15,
78,54,184,2024-01-01,2024-01-15,2024-01-10
78,54,130,2024-01-01,2024-01-15,2024-01-04
79,9,84,2024-01-01,2024-01-15,
79,9,103,2024-01-01,2024-01-15,2024-01-02
80,111,122,2024-01-01,2024-01-15,
80,111,23,2024-01-01,2024-01-15,
81,15,119,2024-01-01,2024-01-15,2024-01-13
81,15,19,2024-01-01,2024-01-15,2024-01-09
82,73,110,2024-01-01,2024-01-15,2024-01-08
82,73,186,2024-01-01,2024-01-15,
83,72,112,2024-01-01,2024-01-15,
83,72,20,2024-01-01,2024-01-15,
84,141,145,2024-01-01,2024-01-15,
84,141,61,2024-01-01,2024-01-15,2024-01-04
85,107,197,2024-01-01,2024-01-15,
85,107,95,2024-01-01,2024-01-15,2024-01-12
86,17,127,2024-01-01,2024-01-15,
86,17,120,2024-01-01,2024-01-15,
87,133,112,2024-01-01,2024-01-15,
87,133,62,2024-01-01,2024-01-15,
88,133,82,2024-01-01,2024-01-15,2024-01-10
88,133,41,2024-01-01,2024-01-15,
89,117,193,2024-01-01,2024-01-15,2024-01-06
89,117,80,2024-01-01,2024-01-15,
90,99,114,2024-01-01,2024-01-15,2024-01-08
90,99,37,2024-01-01,2024-01-15,2024-01-05
91,88,85,2024-01-01,2024-01-15,2024-01-14
91,88,21,2024-01-01,2024-01-15,
92,73,17,2024-01-01,2024-01-15,2024-01-11
92,73,173,2024-01-01,2024-01-15,2024-01-02
93,176,177,2024-01-01,2024-01-15,
93,176,8,2024-01-01,2024-01-15,
94,26,30,2024-01-01,2024-01-15,2024-01-08
94,26,40,2024-01-01,2024-01-15,
95,178,2,2024-01-01,2024-01-15,
95,178,181,2024-01-01,2024-01-15,2024-01-10
96,121,6,2024-01-01,2024-01-15,
96,121,74,2024-01-01,2024-01-15,2024-01-03
97,200,14,2024-01-01,2024-01-15,2024-01-11
97,200,122,2024-01-01,2024-01-15,2024-01-09
98,181,116,2024-01-01,2024-01-15,2024-01-08
98,181,156,2024-01-01,2024-01-15,2024-01-06
99,173,46,2024-01-01,2024-01-15,
99,173,153,2024-01-01,2024-01-15,
100,116,190,2024-01-01,2024-01-15,
100,116,128,2024-01-01,2024-01-15,2024-01-07
101,96,32,2024-01-01,2024-01-15,2024-01-06
101,96,41,2024-01-01,2024-01-15,2024-01-10
102,111,116,2024-01-01,2024-01-15,
102,111,194,2024-01-01,2024-01-15,2024-01-08
103,33,48,2024-01-01,2024-01-15,2024-01-14
103,33,180,2024-01-01,2024-01-15,
104,161,159,2024-01-01,2024-01-15,2024-01-14
104,161,63,2024-01-01,2024-01-15,2024-01-11
105,149,154,2024-01-01,2024-01-15,2024-01-05
105,149,42,2024-01-01,2024-01-15,2024-01-01
106,92,54,2024-01-01,2024-01-15,2024-01-07
106,92,64,2024-01-01,2024-01-15,
107,146,153,2024-01-01,2024-01-15,2024-01-01
107,146,170,2024-01-01,2024-01-15,2024-01-02
108,157,142,2024-01-01,2024-01-15,2024-01-12
108,157,76,2024-01-01,2024-01-15,
109,162,20,2024-01-01,2024-01-15,
109,162,107,2024-01-01,2024-01-15,
110,128,160,2024-01-01,2024-01-15,
110,128,12,2024-01-01,2024-01-15,2024-01-04
111,98,150,2024-01-01,2024-01-15,2024-01-10
111,98,172,2024-01-01,2024-01-15,
112,17,57,2024-01-01,2024-01-15,
112,17,66,2024-01-01,2024-01-15,
113,19,183,2024-01-01,2024-01-15,2024-01-06
113,19,200,2024-01-01,2024-01-15,
114,98,25,2024-01-01,2024-01-15,
114,98,16,2024-01-01,2024-01-15,2024-01-02
115,188,6,2024-01-01,2024-01-15,
115,188,19,2024-01-01,2024-01-15,
116,174,24,2024-01-01,2024-01-15,
116,174,161,2024-01-01,2024-01-15,
117,167,29,2024-01-01,2024-01-15,2024-01-01
117,167,78,2024-01-01,2024-01-15,2024-01-05
118,71,102,2024-01-01,2024-01-15,2024-01-04
118,71,11,2024-01-01,2024-01-15,2024-01-06
119,97,106,2024-01-01,2024-01-15,2024-01-07
119,97,41,2024-01-01,2024-01-15,
120,148,178,2024-01-01,2024-01-15,
120,148,125,2024-01-01,2024-01-15,
121,171,70,2024-01-01,2024-01-15,
121,171,140,2024-01-01,2024-01-15,
122,172,121,2024-01-01,2024-01-15,
122,172,11,2024-01-01,2024-01-15,
123,141,57,2024-01-01,2024-01-15,
123,141,80,2024-01-01,2024-01-15,2024-01-10
124,108,17,2024-01-01,2024-01-15,2024-01-14
124,108,101,2024-01-01,2024-01-15,
125,78,92,2024-01-01,2024-01-15,
125,78,188,2024-01-01,2024-01-15,2024-01-04
126,64,196,2024-01-01,2024-01-15,
126,64,40,2024-01-01,2024-01-15,
127,18,30,2024-01-01,2024-01-15,2024-01-14
127,18,127,2024-01-01,2024-01-15,
128,148,9,2024-01-01,2024-01-15,2024-01-13
128,148,25,2024-01-01,2024-01-15,
129,5,148,2024-01-01,2024-01-15,2024-01-05
129,5,137,2024-01-01,2024-01-15,2024-01-14
130,33,166,2024-01-01,2024-01-15,2024-01-05
130,33,49,2024-01-01,2024-01-15,2024-01-01
131,164,135,2024-01-01,2024-01-15,2024-01-14
131,164,109,2024-01-01,2024-01-15,
132,45,32,2024-01-01,2024-01-15,2024-01-03
132,45,11,2024-01-01,2024-01-15,
133,90,55,2024-01-01,2024-01-15,
133,90,7,2024-01-01,2024-01-15,2024-01-09
134,192,175,2024-01-01,2024-01-15,2024-01-04
134,192,193,2024-01-01,2024-01-15,
135,178,26,2024-01-01,2024-01-15,
135,178,10,2024-01-01,2024-01-15,2024-01-13
136,28,21,2024-01-01,2024-01-15,2024-01-06
136,28,100,2024-01-01,2024-01-15,2024-01-03
137,79,20,2024-01-01,2024-01-15,
137,79,92,2024-01-01,2024-01-15,
138,171,53,2024-01-01,2024-01-15,
138,171,37,2024-01-01,2024-01-15,2024-01-02
139,92,74,2024-01-01,2024-01-15,2024-01-07
139,92,162,2024-01-01,2024-01-15,2024-01-10
140,148,61,2024-01-01,2024-01-15,2024-01-14
140,148,75,2024-01-01,2024-01-15,
141,5,176,2024-01-01,2024-01-15,
141,5,114,2024-01-01,2024-01-15,
142,194,27,2024-01-01,2024-01-15,
142,194,22,2024-01-01,2024-01-15,
143,12,86,2024-01-01,2024-01-15,
143,12,112,2024-01-01,2024-01-15,
144,96,72,2024-01-01,2024-01-15,
144,96,13,2024-01-01,2024-01-15,
145,162,98,2024-01-01,2024-01-15,
145,162,160,2024-01-01,2024-01-15,
146,152,142,2024-01-01,2024-01-15,2024-01-09
146,152,48,2024-01-01,2024-01-15,2024-01-10
147,4,111,2024-01-01,2024-01-15,
147,4,169,2024-01-01,2024-01-15,2024-01-09
148,167,118,2024-01-01,2024-01-15,
148,167,34,2024-01-01,2024-01-15,2024-01-02
149,62,144,2024-01-01,2024-01-15,
149,62,49,2024-01-01,2024-01-15,2024-01-01
150,192,34,2024-01-01,2024-01-15,2024-01-06
150,192,12,2024-01-01,2024-01-15,
151,197,171,2024-01-01,2024-01-15,2024-01-12
151,197,65,2024-01-01,2024-01-15,
152,130,84,2024-01-01,2024-01-15,2024-01-06
152,130,21,2024-01-01,2024-01-15,
153,58,64,2024-01-01,2024-01-15,
153,58,60,2024-01-01,2024-01-15,
154,70,132,2024-01-01,2024-01-15,2024-01-11
154,70,95,2024-01-01,2024-01-15,
155,76,113,2024-01-01,2024-01-15,2024-01-04
155,76,182,2024-01-01,2024-01-15,2024-01-09
156,195,152,2024-01-01,2024-01-15,2024-01-03
156,195,134,2024-01-01,2024-01-15,
157,75,121,2024-01-01,2024-01-15,
157,75,108,2024-01-01,2024-01-15,
158,69,67,2024-01-01,2024-01-15,
158,69,8,2024-01-01,2024-01-15,2024-01-05
159,122,118,2024-01-01,2024-01-15,2024-01-10
159,122,152,2024-01-01,2024-01-15,
160,154,97,2024-01-01,2024-01-15,2024-01-05
160,154,68,2024-01-01,2024-01-15,
161,191,4,2024-01-01,2024-01-15,2024-01-07
161,191,13,2024-01-01,2024-01-15,2024-01-07
162,52,35,2024-01-01,2024-01-15,2024-01-13
162,52,175,2024-01-01,2024-01-15,2024-01-03
163,59,55,2024-01-01,2024-01-15,
163,59,14,2024-01-01,2024-01-15,2024-01-04
164,190,1,2024-01-01,2024-01-15,2024-01-01
164,190,68,2024-01-01,2024-01-15,2024-01-08
165,44,59,2024-01-01,2024-01-15,2024-01-12
165,44,39,2024-01-01,2024-01-15,
166,192,137,2024-01-01,2024-01-15,2024-01-03
166,192,200,2024-01-01,2024-01-15,
167,47,12,2024-01-01,2024-01-15,2024-01-10
167,47,134,2024-01-01,2024-01-15,2024-01-11
168,143,127,2024-01-01,2024-01-15,
168,143,138,2024-01-01,2024-01-15,2024-01-10
169,155,168,2024-01-01,2024-01-15,
169,155,3,2024-01-01,2024-01-15,2024-01-04
170,60,199,2024-01-01,2024-01-15,
170,60,173,2024-01-01,2024-01-15,2024-01-08
171,93,119,2024-01-01,2024-01-15,2024-01-07
171,93,74,2024-01-01,2024-01-15,
172,163,75,2024-01-01,2024-01-15,
172,163,125,2024-01-01,2024-01-15,2024-01-06
173,149,175,2024-01-01,2024-01-15,
173,149,99,2024-01-01,2024-01-15,2024-01-13
174,79,168,2024-01-01,2024-01-15,
174,79,115,2024-01-01,2024-01-15,2024-01-06
175,31,158,2024-01-01,2024-01-15,2024-01-07
175,31,189,2024-01-01,2024-01-15,
176,95,140,2024-01-01,2024-01-15,
176,95,75,2024-01-01,2024-01-15,
177,101,113,2024-01-01,2024-01-15,
177,101,27,2024-01-01,2024-01-15,
178,132,20,2024-01-01,2024-01-15,2024-01-13
178,132,179,2024-01-01,2024-01-15,
179,171,49,2024-01-01,2024-01-15,
179,171,118,2024-01-01,2024-01-15,
180,183,70,2024-01-01,2024-01-15,2024-01-07
180,183,155,2024-01-01,2024-01-15,2024-01-08
181,64,188,2024-01-01,2024-01-15,2024-01-02
181,64,1,2024-01-01,2024-01-15,
182,54,106,2024-01-01,2024-01-15,2024-01-12
182,54,90,2024-01-01,2024-01-15,
183,56,2,2024-01-01,2024-01-15,2024-01-05
183,56,4,2024-01-01,2024-01-15,2024-01-06
184,193,52,2024-01-01,2024-01-15,2024-01-14
184,193,62,2024-01-01,2024-01-15,
185,172,82,2024-01-01,2024-01-15,2024-01-13
185,172,73,2024-01-01,2024-01-15,
186,129,120,2024-01-01,2024-01-15,2024-01-06
186,129,5,2024-01-01,2024-01-15,2024-01-06
187,46,85,2024-01-01,2024-01-15,
187,46,163,2024-01-01,2024-01-15,2024-01-07
188,46,1,2024-01-01,2024-01-15,2024-01-09
188,46,122,2024-01-01,2024-01-15,
189,53,72,2024-01-01,2024-01-15,2024-01-05
189,53,195,2024-01-01,2024-01-15,
190,81,19,2024-01-01,2024-01-15,
190,81,64,2024-01-01,2024-01-15,2024-01-08
191,188,143,2024-01-01,2024-01-15,2024-01-01
191,188,13,2024-01-01,2024-01-15,2024-01-01
192,163,164,2024-01-01,2024-01-15,
192,163,22,2024-01-01,2024-01-15,
193,131,191,2024-01-01,2024-01-15,
193,131,196,2024-01-01,2024-01-15,
194,30,91,2024-01-01,2024-01-15,2024-01-01
194,30,176,2024-01-01,2024-01-15,2024-01-10
195,100,34,2024-01-01,2024-01-15,
195,100,23,2024-01-01,2024-01-15,2024-01-10
196,150,130,2024-01-01,2024-01-15,
196,150,133,2024-01-01,2024-01-15,
197,158,196,2024-01-01,2024-01-15,2024-01-07
197,158,172,2024-01-01,2024-01-15,2024-01-01
198,16,194,2024-01-01,2024-01-15,
198,16,20,2024-01-01,2024-01-15,2024-01-07
199,141,172,2024-01-01,2024-01-15,2024-01-09
199,141,113,2024-01-01,2024-01-15,
200,2,116,2024-01-01,2024-01-15,
200,2,73,2024-01-01,2024-01-15,
